Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
K,F,P,10,1
A,D,T,10,2
Q,L,M,10,6
I,P,Q,10,7
D,K,A,3,10
B,M,A,2,10
S,N,S,8,10
O,I,M,10,2
R,D,B,11,9
T,G,A,6,10
C,I,G,10,8
M,O,G,2,10
L,R,N,11,9
G,S,K,7,10
H,L,G,5,10
P,O,S,7,10
J,D,K,10,1
N,K,P,10,4
F,F,R,10,1
,I,N,10,2
,J,I,7,10
,S,R,10,7
,P,N,10,6
,H,F,8,10
,B,C,10,8
,J,M,10,4
,H,D,5,10
,P,A,3,10
,I,T,10,4
,M,N,10,7
,G,S,10,2
,R,K,6,10
,D,I,10,3
,M,Q,10,3
,J,D,6,10
,P,S,7,10
,T,H,5,10
,M,T,9,11
,K,B,3,10
,K,N,10,5
,O,N,9,11
,S,C,4,10
,B,J,10,2
,H,K,10,3
,T,J,6,10
,I,O,10,2
,C,R,10,0
,B,Q,10,0
,Q,F,3,10
,J,N,10,4
,S,J,7,10
,R,P,10,7
,Q,R,10,8
,C,H,10,4
,R,O,10,5
,A,Q,10,0
,N,C,2,10
,P,T,8,10
,J,K,10,4
,H,O,10,1
,Q,K,7,10
,N,F,2,10
,F,I,10,4
,T,L,10,6
,C,O,10,0
,B,R,10,0
,G,J,10,4
,O,P,11,9
,G,H,10,5
,L,D,3,10
,N,H,4,10
,R,T,8,10
,A,D,10,5
,F,K,10,3
,I,B,5,10
,H,M,10,2
,S,F,5,10
,N,A,1,10
,O,A,1,10
,N,G,4,10
,N,B,2,10
,A,S,10,1
,G,C,7,10
,I,P,10,2
,L,K,11,9
,H,R,10,2
,N,T,8,10
,H,I,9,11
,G,Q,10,1
,A,J,10,2
,Q,C,2,10
,A,L,10,2
,B,S,10,1
,C,F,10,6
,M,P,10,5
,D,G,10,4
,J,O,10,2
,R,D,1,10
,S,L,7,10
,F,J,10,3
,B,F,10,6
,D,N,10,0
,C,J,10,3
,I,Q,10,1
,F,M,10,1
,A,H,10,3
,C,D,11,9
,O,T,3,10
,A,R,10,1
,T,B,5,10
,H,J,10,8
,I,A,6,10
,C,I,10,5
,P,B,1,10
,M,C,3,10
,D,P,10,1
,J,P,10,2
,T,A,3,10
,K,G,4,10
,S,I,4,10
,T,C,4,10
,L,R,10,5
,B,L,10,3
,K,I,5,10
,L,O,10,4
,M,B,2,10
,D,M,10,1
,Q,D,2,10
,G,T,10,2
,K,T,10,8
,K,M,10,6
,J,R,10,2
,B,H,10,3
,P,H,3,10
,C,L,10,3
,K,O,10,2
,P,G,2,10
,B,A,7,10
,G,F,10,7
,O,Q,11,9
,N,Q,10,4
,L,N,10,4
,F,D,7,10
,T,Q,10,2
,S,H,6,10
,P,C,2,10
,G,B,7,10
,L,I,7,10
,M,G,4,10
,M,S,10,6
,Q,L,6,10
,J,L,10,7
,Q,S,8,10
,R,M,10,8
,F,O,10,1
,R,G,2,10
,O,M,5,10
,L,P,10,5
,T,S,10,7
,F,L,10,4
,S,D,3,10
,T,F,5,10
,R,I,3,10
,O,B,2,10
,Q,J,2,10
,C,K,10,2
,Q,H,2,10
,A,F,10,4
,H,L,10,4
,D,O,10,0
,A,C,10,6
