Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
B,T,F,6,10
G,E,S,10,3
H,G,C,11,9
T,T,I,6,10
S,O,A,2,10
I,D,I,10,6
K,P,K,6,10
F,G,L,10,4
L,S,P,10,7
P,K,T,10,6
J,F,O,10,1
D,L,P,10,5
E,G,H,10,5
A,I,E,8,10
N,H,E,10,8
O,O,J,2,10
C,A,C,10,8
,S,B,3,10
,S,T,7,10
,P,C,2,10
,O,N,7,10
,L,F,7,10
,A,G,10,5
,N,F,2,10
,K,E,5,10
,T,G,4,10
,O,H,2,10
,H,B,6,10
,C,O,10,0
,D,P,10,1
,C,B,9,11
,C,E,10,4
,H,K,10,5
,J,L,10,7
,T,H,8,10
,N,L,7,10
,B,P,10,1
,O,G,2,10
,L,T,9,11
,S,A,3,10
,I,L,10,3
,C,L,10,1
,S,F,4,10
,S,D,2,10
,J,N,10,2
,P,N,10,8
,B,G,10,4
,A,N,10,1
,E,F,10,6
,P,E,4,10
,P,J,5,10
,T,O,10,3
,P,I,5,10
,H,J,10,5
,J,E,6,10
,L,B,2,10
,B,D,9,11
,P,G,2,10
,C,D,11,9
,F,P,10,0
,G,N,10,1
,C,F,10,5
,J,T,10,4
,D,J,10,2
,N,S,11,9
,H,L,10,5
,E,O,10,1
,L,O,10,2
,K,C,4,10
,A,H,10,2
,A,K,10,1
,I,J,10,7
,J,F,5,10
,S,I,6,10
,E,B,11,9
,I,G,8,10
,N,T,8,10
,S,O,10,5
,G,J,10,5
,L,D,3,10
,H,C,9,11
,P,H,2,10
,O,K,6,10
,E,D,11,9
,D,G,10,6
,C,T,10,1
,J,B,3,10
,E,T,10,4
,O,I,2,10
,L,A,2,10
,F,G,10,7
,B,F,10,4
,T,D,3,10
,T,P,10,4
,L,S,10,7
,D,H,10,5
,I,H,10,6
,O,P,8,10
,E,A,5,10
,B,I,10,3
,G,S,10,1
,N,B,2,10
,F,A,5,10
,I,N,10,2
,D,A,11,9
,J,S,10,4
,B,O,10,0
,A,P,10,1
,A,I,10,2
,E,L,10,2
,H,S,10,4
,K,J,7,10
,B,A,7,10
,K,B,3,10
,H,N,10,1
,F,K,10,2
,F,H,10,7
,F,D,7,10
,K,L,10,8
,G,E,11,9
,I,C,6,10
,G,K,10,4
,N,C,2,10
,F,I,10,6
,T,A,2,10
,D,K,10,1
,B,T,10,1
,N,D,2,10
,I,K,10,4
,C,S,10,1
,A,J,10,3
,N,E,4,10
,J,C,5,10
,K,N,10,3
,K,S,10,6
,D,O,10,0
