Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
B,B,E,10,5
E,Q,B,2,10
C,J,E,5,10
O,C,Q,10,1
A,E,T,10,4
H,B,F,10,4
J,H,F,7,10
T,S,H,4,10
L,B,H,10,4
G,R,L,6,10
R,O,N,7,10
K,S,E,4,10
Q,E,H,10,4
M,B,G,10,6
S,E,P,10,2
F,C,S,10,2
N,M,T,10,8
P,H,G,10,8
,F,R,10,2
,C,J,10,2
,A,T,10,1
,K,C,5,10
,N,P,10,7
,G,O,10,1
,E,M,10,2
,T,L,11,9
,L,F,7,10
,M,K,9,11
,H,C,5,10
,N,Q,10,4
,A,B,10,5
,T,C,4,10
,A,G,10,4
,B,K,10,2
,L,P,10,4
,Q,L,7,10
,T,R,10,6
,Q,E,2,10
,P,R,10,8
,O,Q,10,8
,T,Q,10,3
,L,A,2,10
,M,P,10,5
,F,S,10,2
,L,K,9,11
,S,L,7,10
,S,B,2,10
,K,O,10,3
,K,S,10,5
,G,C,9,11
,N,M,10,8
,T,S,10,5
,Q,H,3,10
,Q,A,0,10
,T,J,8,10
,Q,P,10,8
,G,P,10,0
,P,J,6,10
,P,C,3,10
,F,O,10,1
,M,F,4,10
,N,L,7,10
,G,T,10,3
,O,L,5,10
,M,R,10,6
,J,B,6,10
,A,K,10,1
,B,P,10,1
,F,N,10,0
,R,A,1,10
,H,O,10,2
,N,H,4,10
,K,T,11,9
,R,S,9,11
,F,J,10,3
,C,N,10,0
,N,G,3,10
,K,Q,10,2
,L,G,7,10
,R,N,9,11
,S,A,2,10
,J,A,3,10
,R,G,2,10
,F,T,10,3
,O,R,8,10
,M,O,10,4
,S,Q,10,3
,J,R,10,3
,L,B,4,10
,Q,G,1,10
,C,R,10,0
,P,K,8,10
,A,P,10,0
,C,B,10,6
,M,J,5,10
,E,O,10,0
,N,B,3,10
,J,L,10,5
,H,K,10,3
,L,E,3,10
,H,T,10,4
,E,K,10,4
,F,C,10,8
,G,J,10,3
,O,C,2,10
,R,E,4,10
,Q,M,5,10
,C,E,10,5
,R,B,2,10
,A,H,10,2
,J,H,11,9
,O,A,1,10
,J,N,10,2
,H,P,10,2
,G,M,10,3
,B,T,10,2
,K,J,11,9
,O,J,3,10
,F,K,10,2
,L,H,7,10
,N,A,1,10
,B,M,10,0
,C,A,11,9
,J,Q,10,1
,O,S,8,10
,A,F,10,5
,P,F,2,10
,E,F,11,9
,S,M,10,6
,M,C,3,10
,R,Q,10,4
,P,T,7,10
,E,G,11,9
,C,L,10,1
,A,E,10,3
,N,E,3,10
,P,O,10,4
,T,N,10,5
,K,N,10,4
,G,K,10,3
,J,S,10,3
,A,M,10,0
,K,R,10,4
,Q,F,2,10
,P,S,8,10
,H,M,10,2
,S,G,5,10
,T,O,10,2
,B,O,10,0
,R,H,3,10
,G,F,11,9
,S,N,10,8
,L,M,10,6
