Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
B,D,T,10,3
T,S,K,8,10
K,C,T,10,2
D,T,G,4,10
L,A,L,10,0
C,B,R,10,1
G,G,A,6,10
S,S,C,4,10
A,T,I,7,10
R,K,I,8,10
I,C,I,10,3
,S,T,9,11
,B,D,10,7
,R,C,3,10
,R,K,7,10
,K,A,4,10
,A,D,10,6
,K,L,10,6
,I,A,5,10
,B,T,10,1
,B,S,10,1
,G,L,10,4
,R,T,5,10
,D,K,10,2
,A,S,10,0
,K,B,4,10
,L,R,10,3
,L,S,10,4
,T,L,10,8
,S,R,10,5
,D,R,10,1
,A,R,10,0
,R,I,4,10
,R,G,3,10
,T,A,2,10
,G,I,10,5
,A,B,10,5
,K,G,6,10
,I,S,10,4
,T,K,10,7
,L,C,3,10
,I,B,5,10
,C,A,8,10
,S,G,5,10
,L,D,5,10
,D,S,10,1
,G,D,9,11
,C,G,10,5
,C,K,10,2
,G,B,9,11
,L,B,4,10
,I,L,10,5
,B,C,10,8
,I,D,7,10
,D,C,11,9
