Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
R,O,Q,10,6
A,T,F,5,10
Q,B,J,10,2
C,A,H,10,4
S,T,K,10,8
E,E,B,11,9
F,I,M,10,3
N,S,H,3,10
M,R,C,3,10
T,K,L,11,9
G,L,R,10,3
K,G,I,10,6
I,I,E,11,9
O,C,F,10,6
J,E,K,10,2
H,Q,F,2,10
L,F,I,10,5
B,F,R,10,2
,B,C,11,9
,J,M,10,5
,G,L,10,3
,S,N,10,4
,R,A,2,10
,E,N,10,0
,I,R,10,3
,T,H,5,10
,A,E,10,3
,H,L,10,4
,N,M,7,10
,T,C,3,10
,O,N,10,8
,Q,J,3,10
,B,K,10,2
,S,O,10,4
,S,A,2,10
,N,J,4,10
,K,I,9,11
,H,Q,10,1
,F,M,10,1
,L,E,4,10
,S,R,10,4
,K,C,4,10
,O,H,2,10
,J,E,5,10
,T,O,10,2
,S,T,9,11
,Q,S,8,10
,B,N,10,2
,R,N,11,9
,S,E,4,10
,K,G,6,10
,B,H,10,4
,R,O,10,6
,L,S,10,4
,R,K,8,10
,I,B,8,10
,M,O,10,3
,L,B,4,10
,J,O,10,3
,Q,I,2,10
,R,H,5,10
,C,Q,10,0
,G,R,10,2
,K,Q,10,4
,G,M,10,1
,N,I,5,10
,G,J,10,3
,F,L,10,4
,L,O,10,2
,C,I,10,5
,G,S,10,2
,Q,A,2,10
,J,L,10,4
,K,F,6,10
,J,A,5,10
,I,O,10,2
,E,H,10,5
,N,G,2,10
,B,F,10,6
,C,L,10,1
,H,G,7,10
,G,A,6,10
,Q,G,3,10
,M,T,9,11
,H,N,10,2
,K,N,10,5
,M,S,10,6
,C,G,10,6
,S,K,8,10
,I,A,4,10
,M,K,8,10
,G,E,10,8
,H,C,5,10
,C,S,10,2
,F,A,6,10
,M,R,10,5
,N,F,4,10
,I,T,10,5
,T,N,10,3
,A,K,10,1
,N,C,1,10
,L,I,6,10
,O,B,2,10
,T,Q,10,2
,O,G,3,10
,G,T,10,3
,A,O,10,1
,L,T,10,8
,R,E,3,10
,A,B,10,6
,M,A,1,10
,C,M,10,2
,A,C,10,4
,I,H,10,8
,R,T,6,10
,Q,L,4,10
,E,O,10,1
,Q,R,10,8
,A,T,10,0
,F,G,9,11
,Q,M,6,10
,N,L,5,10
,L,A,2,10
,F,J,10,4
,S,B,2,10
,I,S,10,2
,H,J,10,6
,O,F,1,10
,E,Q,10,1
,T,B,3,10
,J,S,10,3
,H,K,10,3
,F,E,10,7
,J,R,10,3
,H,F,7,10
,L,M,10,8
,M,H,5,10
,M,E,5,10
,J,T,10,4
,K,J,11,9
,B,G,10,5
,B,Q,10,0
,E,T,10,3
,M,B,3,10
,E,C,8,10
,F,S,10,1
,O,K,5,10
,N,Q,10,5
,A,N,10,0
,J,I,7,10
,C,J,10,4
,O,C,1,10
,R,B,3,10
