Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
H,O,S,5,10
E,G,S,10,3
C,D,K,10,2
K,A,H,10,3
O,P,E,4,10
G,P,S,7,10
A,G,D,7,10
D,S,A,2,10
P,P,G,3,10
S,K,A,2,10
,E,S,10,1
,S,D,2,10
,C,A,10,8
,C,H,10,4
,K,O,10,2
,K,C,5,10
,E,G,10,7
,C,P,10,1
,D,P,10,0
,E,D,11,9
,H,E,9,11
,S,K,7,10
,P,H,5,10
,O,H,2,10
,A,E,10,5
,O,D,1,10
,H,D,6,10
,O,E,2,10
,E,K,10,2
,G,K,10,4
,A,O,10,0
,H,K,10,5
,A,G,10,6
,C,E,10,5
,O,G,1,10
,G,C,7,10
,K,P,10,3
,C,O,10,1
,H,G,10,8
,D,A,7,10
,H,S,10,4
,P,O,10,6
,D,C,10,7
,S,C,3,10
,A,P,10,1
