Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
K,L,F,5,10
D,K,J,10,8
C,A,J,10,2
I,P,I,3,10
H,Q,C,2,10
J,D,S,10,2
A,G,M,10,2
O,C,K,10,1
F,D,O,10,1
S,J,P,10,3
G,L,N,10,4
P,H,D,7,10
M,H,P,10,2
N,O,C,2,10
L,P,L,5,10
Q,O,I,2,10
,F,J,10,3
,J,O,10,3
,M,F,4,10
,F,D,10,8
,O,A,1,10
,D,Q,10,0
,A,M,10,0
,I,F,8,10
,A,L,10,1
,L,M,10,5
,G,F,10,6
,F,P,10,1
,F,K,10,4
,M,J,6,10
,L,K,10,8
,S,P,10,7
,J,C,5,10
,P,M,7,10
,A,G,10,5
,Q,I,3,10
,S,I,5,10
,Q,O,11,9
,G,L,10,2
,F,N,10,1
,A,D,10,8
,K,Q,10,3
,S,A,2,10
,S,O,10,3
,I,C,8,10
,O,G,3,10
,C,H,10,5
,H,Q,10,2
,K,O,10,4
,S,N,10,7
,G,J,10,4
,N,G,2,10
,G,H,10,4
,M,K,10,8
,A,K,10,1
,G,D,11,9
,C,D,9,11
,P,G,2,10
,N,C,1,10
,N,A,2,10
,D,N,10,0
,I,A,6,10
,J,Q,10,2
,C,A,8,10
,J,S,10,4
,O,L,6,10
,C,F,10,5
,I,M,10,4
,M,D,2,10
,C,G,10,6
,O,M,7,10
,Q,P,8,10
,O,F,2,10
,Q,L,5,10
,K,I,7,10
,J,N,10,4
,D,J,10,3
,C,M,10,2
,H,O,10,0
,C,L,10,1
,K,P,10,3
,L,H,8,10
,J,I,8,10
,M,S,10,6
,Q,G,3,10
,H,K,10,5
,K,N,10,5
,S,Q,10,3
,F,Q,10,2
,K,D,3,10
,I,H,10,7
,N,I,3,10
,P,A,1,10
,I,G,8,10
,H,N,10,2
,N,P,10,7
,I,L,10,5
,G,K,10,3
,A,H,10,2
,L,S,10,6
,G,S,10,2
,L,J,8,10
,P,O,10,4
,F,S,10,2
,H,S,10,2
,Q,A,1,10
,A,F,10,4
,F,H,10,4
,P,C,2,10
,N,O,10,6
,M,Q,10,5
,D,I,10,4
,M,H,6,10
,M,N,10,6
,D,P,10,0
,S,C,2,10
,H,J,10,5
,L,D,5,10
,N,Q,10,6
,K,S,10,6
