Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
T,S,T,11,9
J,T,A,3,10
N,K,M,10,8
M,L,S,10,4
S,I,L,10,6
O,S,F,3,10
I,F,R,10,1
R,I,C,7,10
B,F,M,10,1
A,K,I,7,10
L,B,T,10,2
F,S,R,10,6
C,L,A,4,10
K,B,O,10,0
,M,I,5,10
,L,B,4,10
,I,S,10,4
,A,F,10,4
,J,R,10,3
,J,K,10,7
,C,K,10,2
,A,I,10,4
,T,O,10,2
,T,M,10,4
,J,A,3,10
,R,M,11,9
,K,L,9,11
,O,A,2,10
,N,S,11,9
,S,J,5,10
,S,O,10,4
,L,O,10,4
,C,S,10,1
,R,C,2,10
,M,N,10,5
,F,I,10,7
,N,L,5,10
,R,B,2,10
,F,L,10,2
,O,M,8,10
,T,J,11,9
,M,L,8,10
,N,T,5,10
,L,T,11,9
,C,O,10,0
,N,B,3,10
,J,M,10,4
,O,R,9,11
,K,R,10,4
,R,L,7,10
,I,T,10,3
,O,K,4,10
,B,S,10,2
,B,A,8,10
,B,K,10,2
,C,J,10,3
,A,M,10,1
,I,J,10,6
,L,J,7,10
,S,K,7,10
,C,B,11,9
,O,N,10,8
,F,N,10,1
,C,T,10,1
,M,S,10,7
,I,B,8,10
,A,R,10,0
,B,F,10,5
,A,K,10,2
,I,O,10,1
,R,I,5,10
,K,N,10,4
,L,C,3,10
,J,F,8,10
,J,O,10,3
,N,J,6,10
,M,C,2,10
,T,R,10,5
,T,K,10,7
,N,I,4,10
,F,C,10,8
,C,A,8,10
,T,F,5,10
,N,C,2,10
,K,F,4,10
,O,F,2,10
,A,N,10,0
,B,J,10,3
,M,B,2,10
,S,A,2,10
,R,N,9,11
