Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
T,A,L,10,2
A,J,T,10,4
M,A,D,10,7
L,L,M,10,7
N,Q,F,3,10
B,A,B,10,5
F,B,L,10,1
Q,J,D,6,10
J,J,B,4,10
D,T,L,10,6
,D,Q,10,0
,F,J,10,3
,F,A,5,10
,B,M,10,1
,L,N,10,4
,L,F,4,10
,M,F,3,10
,N,Q,10,5
,D,M,10,1
,M,T,7,10
,Q,M,5,10
,M,N,10,5
,Q,L,6,10
,D,L,10,2
,A,Q,10,0
,N,T,5,10
,N,B,2,10
,T,Q,10,2
,T,D,4,10
,F,B,8,10
,N,D,2,10
,B,Q,10,0
,M,J,7,10
,L,J,6,10
,B,D,10,7
,T,A,4,10
,J,N,10,3
,F,N,10,2
,J,A,3,10
,Q,J,4,10
,T,B,3,10
,F,T,10,3
,D,F,10,5
,N,A,1,10
,M,A,3,10
