Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
I,A,K,10,0
G,R,K,8,10
S,H,K,10,6
D,S,K,8,10
E,N,B,1,10
R,I,Q,10,2
H,I,B,5,10
B,H,N,10,1
N,D,Q,10,0
M,R,S,10,8
K,D,M,10,2
A,D,A,10,8
T,A,R,10,0
Q,N,D,3,10
C,Q,M,5,10
,M,K,9,11
,T,Q,10,3
,R,H,2,10
,T,D,4,10
,M,H,6,10
,B,G,10,5
,B,A,10,8
,N,A,2,10
,A,H,10,2
,C,T,10,2
,Q,G,1,10
,N,I,3,10
,M,T,9,11
,G,T,10,3
,T,N,10,5
,E,R,10,1
,A,G,10,3
,S,I,7,10
,S,E,3,10
,D,B,9,11
,H,T,10,3
,R,N,10,6
,A,M,10,1
,C,D,11,9
,I,G,8,10
,T,E,4,10
,M,S,10,7
,G,C,11,9
,A,S,10,2
,K,N,10,3
,Q,R,10,8
,T,B,3,10
,B,H,10,3
,M,G,4,10
,S,C,2,10
,G,K,10,4
,Q,K,6,10
,D,R,10,0
,I,R,10,2
,Q,H,3,10
,M,R,10,6
,R,G,2,10
,E,A,6,10
,Q,S,6,10
,N,E,3,10
,E,Q,10,0
,E,I,10,5
,G,N,10,1
,C,E,10,7
,H,E,8,10
,I,D,5,10
,G,E,10,7
,T,I,6,10
,M,C,2,10
,S,H,5,10
,B,S,10,0
,C,I,10,4
,I,M,10,2
,A,Q,10,0
,K,B,3,10
,H,I,10,8
,B,M,10,2
,K,D,3,10
,K,I,8,10
,K,T,10,6
,G,H,10,7
,N,Q,10,6
,B,Q,10,0
,S,N,10,6
,R,C,3,10
,S,T,10,8
,R,T,7,10
,H,C,8,10
,I,A,6,10
,C,B,10,7
,D,S,10,0
,E,D,7,10
,E,B,7,10
,B,R,10,0
,K,C,2,10
,Q,C,2,10
,C,N,10,1
,H,D,5,10
,N,M,8,10
,G,S,10,2
,T,A,2,10
,C,A,11,9
,D,G,10,4
,E,M,10,1
,K,E,5,10
