Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
C,D,R,10,0
J,A,J,10,3
O,A,P,10,1
R,L,E,6,10
Q,N,A,2,10
H,T,O,10,3
S,R,J,5,10
B,J,M,10,5
N,T,A,2,10
A,P,B,1,10
F,E,P,10,0
T,I,A,3,10
L,Q,K,6,10
E,N,C,1,10
M,B,I,10,3
I,N,R,11,9
P,K,O,10,2
K,J,L,10,8
D,R,K,7,10
,S,R,10,6
,S,M,10,6
,O,C,1,10
,L,N,10,3
,O,N,10,8
,A,O,10,1
,H,M,10,3
,B,T,10,2
,K,D,5,10
,M,C,3,10
,D,C,10,6
,P,N,9,11
,E,F,10,7
,O,Q,10,7
,M,P,10,5
,R,O,10,6
,I,E,10,8
,P,T,8,10
,L,R,10,5
,E,D,11,9
,R,H,3,10
,A,D,10,4
,T,S,10,5
,A,F,10,4
,P,Q,10,7
,Q,I,3,10
,O,M,5,10
,K,E,5,10
,R,I,3,10
,K,F,3,10
,I,K,10,4
,D,T,10,2
,O,F,2,10
,P,I,5,10
,F,M,10,1
,C,B,11,9
,J,S,10,5
,R,E,3,10
,S,F,5,10
,P,R,11,9
,M,L,10,8
,O,L,6,10
,N,B,2,10
,B,H,10,4
,E,H,10,6
,B,S,10,1
,F,D,9,11
,L,C,4,10
,P,C,3,10
,A,S,10,1
,Q,E,1,10
,P,L,8,10
,N,E,2,10
,M,Q,10,5
,D,P,10,1
,Q,T,4,10
,M,T,7,10
,H,N,10,2
,B,J,10,2
,Q,B,1,10
,B,E,10,6
,C,R,10,0
,F,L,10,4
,N,Q,10,5
,Q,A,1,10
,F,R,10,2
,T,H,9,11
,E,A,6,10
,M,N,10,5
,J,O,10,1
,F,C,8,10
,H,P,10,2
,J,N,10,3
,B,A,11,9
,M,B,2,10
,C,H,10,3
,T,I,8,10
,L,I,6,10
,M,R,10,7
,H,D,5,10
,S,P,10,7
,R,A,3,10
,C,A,6,10
,R,B,2,10
,C,E,10,5
,L,K,11,9
,D,N,10,1
,K,M,10,7
,F,N,10,2
,J,F,6,10
,A,M,10,0
,J,D,3,10
,C,T,10,1
,K,J,7,10
,O,S,7,10
,H,F,11,9
,I,O,10,1
,L,Q,10,3
,E,M,10,1
,S,Q,10,5
,C,J,10,2
,D,L,10,2
,J,Q,10,3
,I,F,8,10
,S,D,3,10
,P,K,5,10
,S,C,4,10
,D,I,10,5
,S,L,8,10
,E,J,10,3
,K,H,6,10
,D,Q,10,0
,L,B,3,10
,Q,R,11,9
,C,K,10,1
,O,D,1,10
,H,S,10,4
,F,B,11,9
,Q,C,3,10
,N,K,8,10
,O,P,9,11
,H,L,10,4
,B,K,10,2
,H,J,10,5
,F,P,10,2
,F,Q,10,0
,T,E,5,10
,L,T,11,9
,B,O,10,0
,K,S,10,4
,T,F,5,10
,E,S,10,3
,N,I,3,10
,E,O,10,1
,I,S,10,2
,I,H,10,6
,C,I,10,4
,M,D,2,10
,A,L,10,1
,R,T,7,10
,T,K,10,6
,N,T,6,10
,K,A,2,10
,Q,H,3,10
,S,N,10,6
,I,J,10,5
,H,O,10,1
,I,M,10,2
,T,J,7,10
,D,B,10,7
,A,H,10,2
,J,P,10,2
