Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
B,S,F,4,10
C,M,G,3,10
G,N,P,9,11
M,I,T,10,4
P,M,S,11,9
I,B,M,10,1
F,C,F,10,5
K,P,B,2,10
T,G,N,10,1
S,S,I,5,10
N,I,G,7,10
,T,P,10,5
,T,B,4,10
,N,B,2,10
,K,F,5,10
,N,T,6,10
,F,P,10,0
,M,K,9,11
,G,B,7,10
,G,F,10,7
,S,N,10,7
,F,B,7,10
,P,I,5,10
,T,M,10,4
,P,K,7,10
,B,I,10,5
,P,S,8,10
,G,T,10,4
,B,K,10,3
,K,C,2,10
,T,K,11,9
,B,S,10,1
,T,S,10,4
,N,K,5,10
,G,P,10,1
,M,I,6,10
,I,C,6,10
,K,S,10,4
,B,C,10,7
,C,P,10,1
,F,M,10,3
,F,N,10,1
,C,T,10,1
,S,G,4,10
,I,N,10,1
,P,M,7,10
,S,C,2,10
,K,I,7,10
,C,G,10,7
,I,F,9,11
,F,T,10,2
,M,C,2,10
,N,M,11,9
,K,G,4,10
,C,N,10,0
