Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
C,F,M,10,1
G,O,I,2,10
O,R,L,5,10
R,L,A,2,10
K,R,O,10,5
A,N,L,8,10
I,G,I,10,6
M,O,N,11,9
N,F,C,10,8
L,L,F,5,10
F,F,N,10,2
,L,O,10,2
,N,K,6,10
,R,G,2,10
,C,R,10,0
,A,N,10,0
,K,M,10,6
,I,R,10,3
,O,F,3,10
,F,K,10,4
,M,I,4,10
,M,L,9,11
,M,A,2,10
,I,C,7,10
,M,O,10,5
,R,M,8,10
,I,F,6,10
,G,F,10,6
,K,A,4,10
,F,R,10,2
,N,R,11,9
,N,C,3,10
,C,L,10,3
,O,K,5,10
,K,L,10,8
,A,I,10,3
,I,N,10,1
,A,O,10,0
,G,K,10,3
,N,M,7,10
,R,A,2,10
,C,M,10,2
,A,F,10,3
,M,G,4,10
,A,G,10,5
,G,N,10,0
,C,A,8,10
,L,G,6,10
,K,C,3,10
,L,I,5,10
,O,C,2,10
,I,K,10,4
,G,O,10,1
,K,R,10,4
,C,G,10,5
