Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
Q,C,L,10,2
M,R,A,2,10
C,L,A,2,10
S,R,G,2,10
A,L,G,4,10
K,E,S,10,3
B,C,R,10,1
E,S,A,2,10
L,Q,E,2,10
G,K,S,10,7
R,K,G,5,10
I,A,E,10,4
,I,B,7,10
,L,I,5,10
,B,M,10,2
,G,I,10,7
,R,M,7,10
,Q,G,2,10
,A,K,10,1
,B,R,10,1
,S,C,4,10
,S,B,4,10
,G,C,9,11
,B,L,10,2
,M,I,3,10
,I,S,10,3
,S,R,10,7
,A,I,10,2
,G,B,10,8
,E,C,8,10
,R,K,5,10
,L,M,10,4
,K,C,3,10
,E,R,10,1
,G,E,10,7
,M,E,4,10
,Q,K,6,10
,M,G,5,10
,C,B,9,11
,Q,I,2,10
,R,Q,10,4
,B,Q,10,1
,S,L,11,9
,I,E,8,10
,C,Q,10,0
,I,C,6,10
,A,M,10,0
,B,A,7,10
,G,S,10,1
,R,L,8,10
,M,S,11,9
,B,K,10,1
,K,E,7,10
,Q,M,8,10
,M,K,9,11
,C,M,10,1
,E,L,10,3
,L,K,9,11
,A,Q,10,0
,E,B,9,11
,K,I,8,10
,A,G,10,4
,L,Q,10,4
,I,R,10,2
,Q,S,5,10
,C,A,8,10
