Bacchiatori,Equal,Opposite,EqualPoints,OppositePoints
F,M,G,4,10
J,J,B,5,10
Q,E,B,10,8
C,A,S,10,1
D,Q,D,1,10
S,Q,F,2,10
N,N,G,3,10
K,T,K,10,8
T,G,I,10,7
A,G,C,11,9
B,D,E,10,4
I,J,G,7,10
G,E,J,10,5
E,I,E,11,9
M,K,J,8,10
,I,A,5,10
,G,E,10,8
,G,K,10,4
,T,I,6,10
,Q,G,1,10
,E,Q,10,0
,B,C,11,9
,C,A,10,8
,B,M,10,2
,J,Q,10,2
,E,N,10,2
,S,J,8,10
,M,K,11,9
,D,S,10,2
,T,F,5,10
,I,N,10,2
,I,Q,10,2
,F,A,5,10
,C,Q,10,1
,T,D,5,10
,S,Q,10,5
,F,S,10,2
,K,Q,10,3
,C,K,10,2
,M,I,4,10
,A,N,10,1
,B,K,10,2
,D,K,10,3
,Q,N,10,8
,K,A,3,10
,A,B,10,5
,Q,B,3,10
,N,B,2,10
,D,C,10,7
,C,S,10,2
,G,D,9,11
,S,G,3,10
,C,E,10,4
,E,A,5,10
,N,T,8,10
,D,F,10,5
,K,E,4,10
,K,I,5,10
,S,M,10,8
,M,T,7,10
,K,N,10,3
,J,N,10,4
,E,M,10,3
,B,T,10,2
,S,B,3,10
,M,D,4,10
,I,J,10,5
,C,I,10,4
,G,F,10,6
,F,C,10,8
,I,B,7,10
,N,F,3,10
,D,I,10,3
,T,A,2,10
,B,D,10,8
,T,C,3,10
,Q,M,7,10
,F,K,10,4
,T,E,5,10
,A,J,10,2
,E,S,10,1
,S,N,10,5
,C,J,10,3
,N,C,2,10
,A,M,10,1
,F,J,10,4
,A,G,10,4
,N,D,2,10
,J,M,10,3
,F,I,10,6
,B,F,10,6
,B,G,10,6
,S,T,7,10
,M,C,3,10
,M,F,3,10
,K,S,10,5
,I,S,10,3
,D,A,10,8
,G,T,10,3
,Q,T,4,10
,N,M,11,9
,A,Q,10,0
,J,D,5,10
,F,E,10,6
,J,T,10,7
